run,duration_s
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,20.1
cap3_fixed,25.1
cap3_fixed,25.1
cap3_fixed,25.1
cap3_fixed,25.1
cap3_fixed,25.1
cap3_fixed,25.1
cap3_fixed,25.1
cap3_fixed,30.1
cap3_fixed,30.1
cap3_fixed,30.1
cap3_fixed,30.1
cap3_fixed,30.1
cap3_fixed,35.1
cap3_fixed,35.1
cap3_fixed,35.1
cap3_fixed,35.1
cap3_fixed,40.1
cap3_fixed,40.2
cap3_fixed,45.2
cap3_fixed,45.2
cap3_fixed,95.4
cap3_fixed,120.4
cap3_fixed,215.9
cap3_fixed,286.1
cap3_fixed,371.2
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,10.0
cap4,15.0
cap4,15.0
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,15.1
cap4,20.1
cap4,20.1
cap4,20.1
cap4,20.1
cap4,20.1
cap4,20.1
cap4,20.1
cap4,20.1
cap4,20.1
cap4,25.1
cap4,25.1
cap4,25.1
cap4,25.1
cap4,25.1
cap4,25.1
cap4,25.1
cap4,25.1
cap4,25.1
cap4,30.1
cap4,30.1
cap4,30.1
cap4,30.1
cap4,30.1
cap4,30.1
cap4,30.1
cap4,30.1
cap4,35.1
cap4,35.1
cap4,35.1
cap4,35.1
cap4,35.1
cap4,35.2
cap4,40.2
cap4,45.2
cap4,45.2
cap4,55.2
cap4,471.5
cap5,10.0
cap5,10.0
cap5,10.0
cap5,10.0
cap5,10.0
cap5,10.0
cap5,10.0
cap5,15.1
cap5,15.1
cap5,15.1
cap5,15.1
cap5,15.1
cap5,15.1
cap5,15.1
cap5,15.1
cap5,15.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,20.1
cap5,25.1
cap5,25.1
cap5,25.1
cap5,25.1
cap5,25.1
cap5,25.1
cap5,25.1
cap5,25.1
cap5,25.1
cap5,30.1
cap5,30.1
cap5,30.1
cap5,30.1
cap5,30.1
cap5,30.1
cap5,30.1
cap5,30.1
cap5,35.1
cap5,35.1
cap5,35.1
cap5,35.1
cap5,35.1
cap5,35.1
cap5,35.1
cap5,35.1
cap5,35.2
cap5,40.1
cap5,40.2
cap5,40.2
cap5,40.2
cap5,40.2
cap5,40.2
cap5,45.2
cap5,50.2
cap5,185.7
cap5,371.2
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
